,id,title,text,sports,travel,photography,bola,label
0,1,Ayo Kawal! Ini Janji-janji Presiden Jokowi kepada Dunia Olahraga,"By Editor: Matheus Elmerio Giovanni ________________________ INDOSPORT.COM - Presiden Jokowi ternyata punya sederet janji kepada dunia olahraga, baik itu selama kampanye Pemilihan umum Presiden Indonesia 2019 lalu, atau saat masa kepemimpinannya. Pilpres pun sudah dilaksanakan pada April lalu dan pengumuman dari Komisi Pemilihan Umum (KPU) menyatakan bahwa pasangan nomor urut 01, Joko Widodo-Ma'ruf Amin sebagai pemenang dengan raihan 55,5% persen suara. Meski pelantikan Presiden dan Wakil Presiden periode 2019-2024 masih akan dilantik pada tanggal 20 Oktober 2019 mendatang, tapi kemenangan sudah bisa disematkan kepada pasangan nomor urut 01. Sudah menang dan akan segera lanjut ke periode kedua, tentu pekerjaan rumah yang teramat besar sedang menanti Jokowi. Apalagi kalau bukan memenuhi janji-janjinya selama kampanye. Sesuai dengan INDOSPORT.COM yang merupakan portal berita olahraga, kami pun ingin mengingatkan para pecinta olahraga seluruh Indonesia untuk mengingat dan mengawal janji-janji Jokowi di bidang ini. Janji-janji tersebut harus direalisasikan oleh Jokowi di periode keduanya sebagai Presiden Republik Indonesia mendatang. Pasalnya, ini merupakan hal penting untuk memotivasi para atlet kita agar lebih berprestasi. 1. Janji Jokowi soal Perkembangan e-Sports Yang paling terbaru didengar oleh para pendukung olahraga Indonesia adalah janji Jokowi kepada perkembangan e-Sports, yang juga jadi pembahasan dalam salah satu debat Pilpres 2019. Jokowi mengaku tahu betul dengan perkembangan ekonomi di bidang e-Sports yang sangat pesat. Oleh karena itu, dia merasa pemerintah harus merespons cepat terkait perkembangan teknologi. ""Ini profesi anak muda yang senang jadi gamer. Maka dari itu, pemerintah mencoba memfasilitasi dengan membangun infrastruktur internet seperti broadband, Palapa Ring dan 4G. Kedua, membangun ekosistem yang nyaman,"" ucap Jokowi. Untuk yang belum familiar dengan nama Palapa Ring, itu adalah proyek pembangunan jaringan serat optik yang mengitari tujuh pulau nantinya, yakni Sumatera, Jawa, Kalimantan, Nusa Tenggara, Sulawesi, Maluku dan Papua. Palapa Ring ini ternyata merupakan proyek pemerintah yang awalnya dijalankan pada 1998. Proyek ini sempat mangkrak sangat lama karena masalah pendanaan. Oleh karena itu, menarik untuk ditunggu apakah benar pada periode kedua, Jokowi mampu menyelesaikannya. Jika selesai, ini tentu akan sangat membantu kenyamanan atlet-atlet kita di bidang e-Sports. 1. 2. Jokowi Ingin Dunia Usaha Ambil Peran di Olahraga Selanjutnya Jokowi juga sempat mengungkapkan keinginannya agar perusahaan swasta mengambil peran di masing-masing cabang olahraga. Harapan ini mencuat usai Jokowi menerima kunjungan dua atlet bulutangkis Indonesia, Kevin Sanjaya dan Marcus Fernaldi Gideon pada awal April lalu. ""Tadi bapak Presiden mengharapkan dunia usaha yang lain harus mengambil peran di masing-masing cabang olahraga. Kalau sudah diambil peran-peran itu, maka soal sponsor, pembinaan, soal fasilitas dan lain sebagainya akan terpenuhi dengan baik,"" ucap Menteri Pemuda dan Olahraga Imam Nahrawi kepada awak wartawan. Ya, kita semua nampaknya sudah tahu bahwa bulutangkis disponsori oleh salah satu perusahaan swasta. Oleh karena itu, Jokowi ingin baik perusahaan swasta lainnya atau BUMN dapat melakukan hal yang serupa. Melihat keinginan tersebut, nampaknya bisa saja di periode keduanya nanti, Jokowi mengeluarkan peraturan khusus untuk meminta dunia usaha setidaknya ikut ambil peran dalam cabang olahraga tertentu. Kita lihat saja apa langkah konkret nantinya. 3. Janji Jokowi Soal Sirkuit Mandalika Siap Gelar MotoGP 2021 Pada Maret 2019 lalu, Presiden Jokowi juga sempat mengatakan bahwa Indonesia siap menggelar adu balap paling bergengsi di dunia, MotoGP pada tahun 2021, ketika ditanyakan bagaimana perkembangan pembangunan sirkuit internasional Mandalika. ""Saya sampaikan Indonesia siap (gelar MotoGP 2021). Mereka hanya ingin diyakinkan bahwa kami siap, baik itu secara organisasi dan juga infrastruktur untuk MotoGP di Sirkuit Mandalika,"" ucap Jokowi di Istana Kepresidenan Bogor, Jawa Barat (13/04/19). Pembangunan Sirkuit Mandalika yang bertaraf internasional agar bisa menggelar MotoGP 2021, tentu merupakan proyek yang terbilang besar. Oleh karena itu, perlu dikawal seperti apa perkembangannya dari tahun ke tahun. Menggelar MotoGP di Indonesia, tidak hanya mampu menghibur para pecinta balap motor tapi juga bisa meningkatkan pendapatan ekonomi di Nusa Tenggara Barat nantinya.",1,0,0,0,sport
1,2,Piala Dunia U-20 - Pelatih Korea Selatan Tak Ingin Tergantung Skenario,"By Estu Santoso BOLASPORT.COM - Pelatih timnas U-20 Korea Selatan, Chung Jung-yong mengatakan bahwa timnya harus bisa menentukan nasib mereka sendiri. Timnas U-20 Korea Selatan (Korsel) berada di peringkat kedua klasemen sementara Grup F Piala Dunia U-20 2019 dengan masing-masing satu kemenangan dan kekalahan. Pada laga perdana, Korsel kalah tipis dari timnas U-20 Portugal dengan skor 0-1. Namun pada pertandingan kedua, tim asal Negeri Gingseng itu sukses meraih tiga poin seusai menang tipis atas timnas U-20 Afrika Selatan dengan skor 1-0. Chung Jung-Yong pun mengataka, timnya siap untuk pertandingan melawan juara Piala Dunia U-20 enam kali, Argentina pada 1 Juni 2019. “Kami siap untuk itu. Tetapi, saya tidak ingin harus melalui skenario yang berbeda dan membandingkan poin dengan tim lain,” kata Chung Jung-yong yang dilansir oleh BolaSport.com dari the-afc, Rabu (29/5/2019). “Saya hanya ingin para pemain melakukan yang terbaik dalam satu pertandingan tersebut dan menikmati permainan.” Pelatih berusia 50 tahun tersebut memuji para pemainnya karena performa yang baik selama 90 menit saat jumpa Afrika Selatan. “Saya pikir kami akan berada dalam pertandingan yang sulit karena mereka adalah tim yang kuat,” kata Chung Jung-yoon. “Namun pada babak kedua, kami berhasil memenangi penguasaan bola dan dapat mengendalikan lini tengah.” “Pasti menyenangkan, jika kami dapat mencetak lebih banyak gol,” ujar Chung melanjutkan. Saat ini, Korea Selatan dan Portugal sama-sama mengumpulkan tiga poin. Dua tim dari masing-masing grup dengan peringkat teratas dan empat tim dari urutan ketiga terbaik berhak lolos ke babak 16 besar. Korea Selatan harus menghindari hasil imbang dan kalah untuk bisa menduduki peringkat kedua klasemen Grup F Piala Dunia U-20 2020 di Polandia.",1,0,0,0,sport
2,3,Karlovic Petenis Tertua dalam 46 Tahun Terakhir Menang di Prancis Terbuka,"Bisnis.com , JAKARTA – Petenis Kroasia Ivo Karlovic menjadi pemain tertua yang memenangi pertandingan di Perancis Terbuka di Roland Garros, Paris, selama 46 tahun terakhir. Dia mengalahkan pemain veteran asal Spanyol Feliciano Lopez, 37 tahun, dalam duel putaran pertama pada Rabu (29/5/2019) pagi WIB. Karlovic, yang berusia 40 tahun pada Februari lalu, menang 7-6 (4) 7-5 6-7 (7) 7-5 dalam pertandingan yang menampilkan para pemain dengan usia gabungan 77 tahun - yang tertua di Grand Slam di era profesional. Dia menjadi orang tertua yang menang di Roland Garros sejak Torben Ulrich pada 1973 pada usia 44 tahun. Dia juga pemain pria tertua yang memenangi sebuah pertandingan di turnamen Grand Slam sejak Ken Rosewall, juga 44 tahun, melakukannya di Australia Terbuka 1978. Pemain terakhir yang ikut serta dalam pertandingan tunggal Grand Slam yang telah berusia 40 tahun adalah Jimmy Connors dari Amerika di AS Terbuka pada 1992. Raksasa Kroasia Karlovic melepaskan 35 ace dalam perjalanannya menuju pertandingan putaran kedua yang akan berhadapan dengan Jordan Thompson (Australia). ""Itu sangat berarti. Itu ada di buku catatan sebagai yang tertua, saya menyukainya. Saya tak bermain hampir 2 bulan, jadi sangat senang bisa menang hari ini,"" kata Karlovic. Petenis peringkat 94 dunia itu memang memutuskan tidak memainkan turnamen lapangan tanah liat apa pun dalam persiapannya bertarung di Roland Garros di mana ia belum pernah melewati putaran ketiga. Simak berita lainnya seputar topik artikel ini, di sini :",1,0,0,0,sport
3,4,FOTO: Petenis Jepang Naomi Osaka Melaju ke Babak Kedua Prancis Terbuka,"Petenis Jepang Naomi Osaka berusaha mengembalikan bola pukulan petenis Slovakia Anna Karolina Schmiedlova saat bertanding pada babak putaran pertama turnamen tenis Prancis Terbuka di stadion Roland Garros, Paris (28/5/2019). Naomi Osaka menang tiga set, 0-6, 7-6 (7-4), 6-1. Petenis Slovakia Anna Karolina Schmiedlova menservis bola saat bertanding melawan petenis Jepang Naomi Osaka pada babak putaran pertama turnamen tenis Prancis Terbuka di stadion Roland Garros, Paris (28/5/2019). Naomi Osaka menang tiga set, 0-6, 7-6 (7-4), 6-1. Petenis Slovakia Anna Karolina Schmiedlova berusaha mengembalikan bola pukulan petenis Jepang Naomi Osaka pada babak putaran pertama turnamen tenis Prancis Terbuka di stadion Roland Garros, Paris (28/5/2019). Naomi Osaka menang tiga set, 0-6, 7-6 (7-4), 6-1. Petenis Jepang Naomi Osaka berusaha mengembalikan bola pukulan petenis Slovakia Anna Karolina Schmiedlova saat bertanding pada babak putaran pertama turnamen tenis Prancis Terbuka di stadion Roland Garros, Paris (28/5/2019). Naomi Osaka menang tiga set, 0-6, 7-6 (7-4), 6-1.",1,0,0,0,sport
4,5,"Lawan Enteng, Ginting Bisa Juara di Australia Terbuka","FAJAR.CO.ID, JAKARTA--Anthony Sinisuka Ginting punya peluang meraih gelar juara di Australia Terbuka 2019 pada 4-9 Juni pekan depan. Turun sebagai unggulan 2 turnamen, Ginting harus bermain bagus secara konsisten demi merengkuh trofi juara pertamanya di tahun ini. Berdasarkan hasil drawing, Ginting tidak akan menemui lawan yang terlampau berat di turnamen ini. Pemain unggulan pertama yang akan ditemui Ginting kemungkinan adalah Tommy Sugiarto, yang merupakan unggulan 7 di babak perempat final. Di babak pertama, Ginting terlebih dulu harus bisa mengatasi pemain Korea Selatan, Heo Kwang Hee, sebelum nantinya bertemu pemenang antara Sai Praneeth (India) dan Lee Dong Keun (Korea Selatan) di babak kedua. Beberapa calon lawan berat berikutnya yang kemungkinan berduel dengan Ginting adalah Kenta Nishimoto (Jepang) dan Sameer Verma (India) di partai semifinal. Menengok ke pool atas, beberapa nama besar berpotensi menantang Ginting di partai final jika semuanya berjalan lancar. Tiga nama yang bisa menjadi penantang Ginting adalah unggulan pertama turnamen Chou Tien Chen (Taiwan), Lin Dan (Tiongkok), dan kompatriot Jonatan Christie yang merupakan unggulan 3 turnamen. Di atas kertas, meraih gelar juara di Australia Terbuka 2019 semestinya bukanlah perkara berat buat Ginting. Dikenal sebagai pemain yang punya kecepatan dan smes yang kencang, Ginting yang saat ini duduk di ranking 7 dunia sebetulnya sudah dikenal dunia sebagai salah satu penepok bulu tangkis terbaik di era sekarang. Sayang, Ginting sering sekali kehilangan ritme permainan. Ia kerap kali tidak tenang di poin-poin penting yang akhirnya berujung petaka buat dirinya sendiri. Dalam pertandingan yang ketat, Ginting kerap kali mati akal setiap musuh memberinya tekanan. Legenda bulu tangkis Indonesia Rudy Hartono bahkan secara terang-terangan mengatakan bahwa permainan Ginting sangat monoton dan seringkali gagal memanfaatkan kesempatan untuk menang. Dengan Olimpiade Tokyo 2020 yang sudah semakin dekat, sudah saatnya Ginting berbenah. Pernah membuat kejutan di Tiongkok Terbuka 2018 di mana ia menjadi juara dengan menumbangkan semua pemain juara dunia termasuk Kento Momota, ia layak kembali mengulang momen tersebut di tahun ini. Hal itu tentu sangat mungkin terjadi, asalkan ia konsisten.",1,0,0,0,sport
5,6,"Pulih dari Cedera, Emilia Nova Ditargetkan Emas SEA Games","AKURAT.CO, Pelari gawang Indonesia, Emilia Nova, tetap ditargetkan dapat menyumbangkan medali emas di ajang SEA Games 2019. Wanita yang akrab disapa Emil ini tengah fokus dalam pemulihan cedera yang dialaminya saat mengikuti Kejuaraan Atletik Asia di Doha, Qatar. ""Kalau untuk target SEA Games, asal Emil sehat-sehat saja masih bisa ditargetkan emas, Insyaallah ,"" ujar pelatih lari gawang Indonesia, Ongky dikutip Antara. ""Kalau persiapan Emil memang masih penyembuhan, tapi sekarang sudah lebih baik. Dia sudah bisa jogging pelan di rumput. Kondisinya sudah 90 persen."" Karena cedera tersebut, Emilia harus absen dari beberapa kejuaraan internasional yang dilaksanakan pada Mei 2019, termasuk World Relay Championship 2019 di Yokohama dan Osaka, Jepang. Peraih medali perak Asian Games 2018 itu tengah berusaha memulihkan trauma akibat cedera. Walau memiliki peluang tampil di Olimpiade Tokyo 2020, Ongky menilai pelarinya tersebut masih butuh waktu panjang untuk persiapan. Senada dengan sang pelatih, Emil mengakui keinginannya tampil di Olimpiade. Namun, untuk saat ini dia hanya ingin menikmati prosesnya lebih dulu. ""Pasti semua ingin ikut Olimpiade. Cuman harus mengikuti prosesnya dulu. Kalau prosesnya bagus, hasilnya pasti bagus. Kalau aku tidak ingin muluk-muluk, ingin nikmati prosesnya dulu saja,"" ungkap Emilia. ""Paling aku fokus ke SEA Games. Untuk Universiade, aku ambil pengalamannya saja. Kalau SEA Games, terakhir kan kemarin dapat perak inginnya dapat emas. Tapi yang penting sehat, tidak cedera dan cedera yang sekarang cepat sembuh."" Emilia Nova berhasil meraih emas nomor 100 meter lari gawang putri pada Malaysia Open Grand Prix di Bukit Jalil, Kuala Lumpur akhir Maret lalu. Namun, di Qatar dia finis di urutan kelima dari lima pelari di heat kedua pada babak penyisihan dengan catatan waktu 13,70 detik, yang akhirnya membuat Emilia gagal melaju ke final. Pada Mei 2019, sejauh ini dari tim atletik Indonesia hanya sprinter Lalu Muhammad Zohri yang dinyatakan lolos kualifikasi untuk berlaga di Olimpiade 2020 setelah finis di urutan ketiga dalam ajang IAAF World Challenge Golden Grand Prix 2019.[]",1,0,0,0,sport
6,7,Sidrap Jadi Tuan Rumah POSKI II Tingkat PTKIS Kopertis Wilayah VIII,"SIDRAP, BP – Event bertaraf Nasional bakal dipusatkan di Bumi Nene Mallomo, Kabupaten Sidrap pada awal Juli 2019 mendatang. Acara tersebut yakni Pekan Olahraga Seni dan Karya Ilmiah (POSKI) II Tingkat PTKIS Kopertis Wilayah VIII Sulawesi, Maluku dan Papua. Rencananya kegiatan ini bakal diikuti 62 perguruan tinggi dari 9 Provinsi. Mempersiapkan agenda itu, STAI DDI Sidrap selaku panitia pelaksana melakukan rapat koordinasi dengan Pemerintah Kabupaten (Pemkab) Sidrap. Rapat tersebut berlangsung di ruang Wakil Bupati Sidrap Lantai II Kantor Bupati Sidrap, Kelurahan Batulappa, Kecamatan Watang Pulu, Rabu, 29 Mei. Rapat yang dipimpin Wakil Bupati Sidrap, H Mahmud Yusuf dihadiri Kadis Kominfo, H Kandacong Mappile, Kadis Kesehatan, dr A Irwansyah, Kepala Dinas Pemuda dan Olahraga Anis Dachlan dan Kepala Disdikbud Sidrap, Nurkanaah. Hadir pula, Ketua STAI DDI Sidrap, Mansur, Kapolsek Maritenggae, Iptu Abd Samad, serta sejumlah SKPD terkait lainnya. Wakil Bupati Sidrap, H Mahmud Yusuf sangat mengapresiasi kegiatan tersebut. “Acara ini sangat luar biasa dan bisa membanggakan Sidrap. Jadi perlu persiapan yang sangat matang,” katanya. Dalam rapat itu, ada beberapa agenda penting yang dibahas mulai dari persiapan sarana dan prasarana olahraga maupun kesenian hingga pembukaan nantinya. Sebagai informasi, terkait even tersebut pihak Kopertais Wilayah VIII Sulawesi, Maluku, & Papua dan STAI DDI Sidenreng Rappang telah melakukan audensi dengan Bupati Sidrap, H Dollah Mando beberapa waktu lalu.",1,0,0,0,sport
7,8,8 Wanita Multi Talenta Indonesia Tularkan Semangat Cintai Diri Sendiri,"VIVA – Mencintai diri sendiri memang terdengar mudah. Tidak sedikit pula yang menganggap bahwa mencintai diri sendiri menjadi sebuah sikap ego. Padahal, mencintai diri sendiri punya makna positif yang berdampak besar pada diri Anda. Laman Psychlogy Today menulis bahwa mencintai diri sendiri terkait dengan rasa penerimaan diri dengan segala kekurangan dan kelebihannya. Dengan sikap tersebut, diri akan terasa lebih positif dan tentunya mampu meningkatkan kualitas hidup seseorang. Banyak yang bisa didapat dengan mencintai diri sendiri, selain Anda akan merasa lebih bahagia, sebuah studi yang dipublikasikan dalam jurnal Health Psychology menemukan bahwa mencintai diri sendiri bisa mendorong Anda untuk hidup lebih sehat. Selain itu, mencintai diri sendiri juga bisa mencegah Anda dari gangguan mental seperti kecemasan dan depresi. Karena sebuah studi menyebutkan bahwa seseorang yang mencintai diri sendiri akan lebih optimis dalam menjalani kehidupan sehingga mereka akan terhindari dari stres yang bisa menyebabkan depresi. Pada akhirnya, mencintai diri sendiri bukan hanya mengubah kamu secara fisik, namun juga secara psikologis dan emosional. Dan saat kamu berhasil mencintai diri sendiri, orang lain akan ikut merasakan energi positif yang terpancar dalam diri atau dikenal dengan inner beauty . Hal tersebut juga mengilhami Sariayu. Di tahun 2019 ini Sariayu membawa semangat baru mencintai diri sendiri dengan mengajak perempuan Indonesia untuk berani mengungkapkan kecantikan mereka tanpa batasan usia, warna kulit, daerah asal, serta standar kecantikan yang dibuat oleh masyarakat. “Perempuan Indonesia dianugerahi kecantikan yang luar biasa beragam, kecantikan tidak hanya sebatas fisik, namun kuncinya adalah rasa percaya diri, bagaimana bisa menerima diri kita apa adanya,"" ujar Wulan Tilaar, Vice Chairwoman Martha Tilaar Group dari rilis yang diterima VIVA Rabu 29 Mei 2019. Bertajuk #FearlessBeauty Sariayu juga mengajak wanita Indonesia untuk menularkan perasaan mencintai diri sendiri dan bangga menjadi cantik luar dan dalam ala dirinya sendiri. Sariayu juga mendefinisikan semangat #FearlessBeauty menjadi beberapa kategori yaitu #FearlessHijab, #FearlesstoExplore, #FearlesstoGlow, dan #FearlessAging. Untuk mewakili semangat #FearlessBeauty, sariayu juga mengajak 8 wanita muda inspiratif dalam kampanyenya. Mereka di antaranya Pipiet Kamelia, atlet Pencak Silat, Tiffani Afifa, dokter, penyanyi, dan juga content creator (#FearlessHijab). Prisa Rianzi musisi, painter sekaligus pengusaha di bidang fesyen dan Dinda Puspitasari, Fashion Illustrator (#FearlesstoExplore). Lalu ada Wewey Wita atlet Pencak Silat peraih medali emas Asian Games 2018 dan psikolog klinis dewasa Inez Kristanti (#FearlesstoGlow). #FearlessAging diwakili oleh Debby Susanto, mantan atlet bulutangkis pemilik gelar juara All England 2016 dan Aulia Halimatussadiah, penulis buku dan juga digital entrepreneur. ""Kami yakin, semua perempuan berhak merasa cantik seutuhnya dan setiap wanita bebas menentukan definisi kecantikanmu mulai dari sekarang.""",1,0,0,0,sport
8,9,"Ujicoba Terakhir, Timnas Futsal U-20 Kalahkan PDAM Bhagasasi Bekasi","Timnas futsal U-20 menghadapi laga keduanya selama berujicoba di Jakarta pada Selasa (28/5) malam. Di laga kedua ini, timnas futsal U-20 akan menghadapi PDAM Tirta Bhagasasi Kabupaten Bekasi di Tifosi Sport Center, Jakarta Timur. Di laga ini, pelatih kepala Kensuke Takahashi mengistirahatkan tiga pemainnya yaitu Muhammad Rizki Xavier, Ramadhan Zidani dan Rizal Mustofha karena mengalami cedera ringan. Ini membuat skuat timnas futsal U-20 hanya memainkan sembilan 'field player' saja. Sempat kesulitan menghadapi perlawanan tim PDAM yang diperkuat pemain-pemain liga pro asal Bekasi seperti Hamzah, Dadang Prasetyo dan Raka Febianto, timnas futsal U-20 sukses mencetak gol di menit 12 lewat gol Filippo Inzaghi di babak pertama. Gol Pipo menjadi satu-satunya yang tercipta di babak pertama. Di babak kedua, skuat timnas futsal U-20 mencoba menekan dan sukses mencetak gol lewat Firman Ardiansyah di menit 27. Tak lama berselang giliran Syaifullah yang sukses mencetak gol di menit 31 lewat powerplay. Namun PDAM mencoba bangkit. Mereka sukses memanfaatkan kegagalan powerplay lewat gol Daryat Kamaludin dan Agus Suarso di menit akhir. Skor 4-2 menutup laga untuk kemenangan timnas futsal U-20. Ini merupakan ujicoba terakhir sebelum skuat timnas futsal U-20 libur lebaran.",1,0,0,0,sport
9,10,Sani Rizki Fauzi Tak Masalah Gabung Timnas Indonesia U-23 Saat Suasana Lebaran,"Bola.com, Jakarta - Timnas Indonesia U-23 menggelar pemusatan latihan di Yogyakarta pada 29 Mei hingga 3 Juni 2019 untuk mengikuti turnamen Merlion Cup yang digelar pada 7-9 Juni di Singapura. Harus bergabung dengan Tim Garuda Muda di suasana Idulfitri tak membuat gelandang Bhayangkara FC, Sani Rizki Fauzi, keberatan. Pemain berusia 21 tahun itu justru menegaskan kesiapannya membela bangsa dan negara. Indra Sjafri memanggil 26 pemain untuk mengikuti pemusatan latihan Timnas Indonesia U-23 di Yogyakarta pada 29 Mei hingga 3 Juni 2019. Turnamen Merlion Cup yang digelar pada 7-9 Juni menjadi penyebab. Padahal, Hari Raya Idulfitri 2019 akan jatuh sekitar 5 dan 6 Juni. Artinya para pemain Tim Garuda Muda dipastikan tak bisa berkumpul lama bersama keluarganya karena harus kembali membela Indonesia di lapangan hijau. Hal tersebut tak menjadi masalah bagi Sani Rizki Fauzi. Menurutnya, setiap pemain harus siap dengan panggilan Timnas Indonesia. Apalagi gelandang Bhayangkara FC ini justru merasa sangat antusias bisa kembali dipanggil membela Tim Garuda Muda. ""Tidak ada masalah kok. Soalnya ini kan tugas negara dan kewajiban kami. Jadi, saya selalu siap kapanpun dipanggil. Alhamdulilah saya bersyukur bisa dipanggil lagi mengikuti pemusatan latihan Timnas Indonesia. Saya bakal bekerja lebih keras dan siap memberikan yang terbaik,"" ujar Sani Rizki Fauzi seperti dilansir laman resmi klub. Pengalaman memperkuat Timnas Indonesia U-22 dan menjadi juara Piala AFF U-22 2019, serta memperkuat Timnas Indonesia U-23 di Kualifikasi Piala AFC U-23 2020, membuat Sani Rizki Fauzi sangat gembira bisa kembali mendapatkan panggilan dari Indra Sjafri. ""Coach Indra sosok yang baik, selalu disiplin, dan pengganti orang tua,"" ujarnya.",1,0,0,0,sport
